stateFlagCode,State,Rate
,Massachusetts,225
,New Jersey,222
,Wyoming,222
,Colorado,221
,New Hampshire,221
,Indiana,220
,Connecticut,219
,Mississippi,219
,Utah,219
,Florida,218
,Kentucky,218
,Montana,217
,Hawaii,216
,Idaho,216
,Louisiana,216
,Maryland,216
,North Dakota,216
,Ohio,216
,Pennsylvania,216
,Rhode Island,216
,Washington,216
,Iowa,215
,New York,215
,South Carolina,215
,Tennessee,215
,Wisconsin,215
,Georgia,214
,Illinois,214
,Minnesota,214
,South Dakota,214
,Virginia,214
,Alabama,213
,Kansas,213
,Nevada,213
,North Carolina,213
,Vermont,213
,California,212
,Missouri,212
,Nebraska,212
,Texas,212
,Arkansas,210
,Delaware,210
,Maine,210
,District of Columbia,209
,Michigan,209
,Arizona,208
,Oklahoma,207
,Oregon,207
,West Virginia,206
,Alaska,202
,New Mexico,201
,United States,214.15686274509804